crosswalk_id,cafe_count
06-0000002368,3
06-0000002370,1
06-0000002690,2
06-0000002715,1
06-0000002735,1
06-0000002940,2
06-0000002944,2
06-0000002945,2
06-0000002980,1
06-0000002992,1
06-0000002993,1
06-0000003140,2
06-0000003143,1
06-0000003237,1
06-0000003246,1
06-0000003344,2
06-0000003350,2
06-0000003352,1
06-0000003612,1
06-0000003615,1
06-0000003624,4
06-0000003625,4
06-0000003626,4
06-0000003647,1
06-0000003722,1
06-0000005716,1
06-0000011022,2
06-0000011023,2
06-0000011024,2
06-0000011052,2
06-0000011418,1
06-0000011609,1
06-0000011610,1
06-0000011612,1
06-0000011797,1
06-0000011812,1
06-0000011836,3
06-0000011837,4
06-0000011838,2
06-0000011840,4
06-0000011869,1
06-0000011877,1
06-0000012033,1
06-0000012035,1
06-0000012036,2
06-0000012063,1
06-0000012064,1
06-0000012068,2
06-0000012070,1
06-0000012071,1
06-0000012072,1
06-0000012074,1
06-0000012075,1
06-0000012090,1
06-0000012094,1
06-0000012095,1
06-0000012096,1
06-0000012097,1
06-0000012098,2
06-0000012099,3
06-0000012100,2
06-0000012107,2
06-0000012108,1
06-0000012109,1
06-0000012111,1
06-0000012114,1
06-0000012117,1
06-0000012122,1
06-0000012124,1
06-0000012125,1
06-0000012127,1
06-0000012128,1
06-0000012130,1
06-0000012133,2
06-0000012134,2
06-0000012135,2
06-0000012136,2
06-0000012152,1
06-0000012155,2
06-0000012159,2
06-0000012160,2
06-0000012164,1
06-0000012165,1
06-0000012166,2
06-0000012167,1
06-0000012168,1
06-0000012176,1
06-0000012371,2
06-0000012439,2
06-0000012440,2
06-0000012441,2
06-0000012443,1
06-0000012524,1
06-0000012525,1
06-0000012595,2
06-0000012597,2
06-0000012604,1
06-0000012865,1
06-0000012866,1
06-0000012867,5
06-0000012872,1
06-0000012887,1
06-0000012888,2
06-0000012890,2
06-0000012891,1
06-0000012892,1
06-0000012893,1
06-0000012972,1
06-0000012976,3
06-0000012977,1
06-0000012979,1
06-0000012997,1
06-0000012999,2
06-0000013004,3
06-0000013005,1
06-0000013007,3
06-0000013010,1
06-0000013011,1
06-0000013042,1
06-0000013057,3
06-0000013058,1
06-0000013060,2
06-0000013063,1
06-0000013085,1
06-0000013088,1
06-0000013098,2
06-0000013099,2
06-0000013100,1
06-0000013102,1
06-0000013127,1
06-0000013128,1
06-0000013136,1
06-0000013137,2
06-0000013138,1
06-0000013154,1
06-0000013160,1
06-0000013162,1
06-0000013163,1
06-0000013171,1
06-0000013174,2
06-0000013178,2
06-0000013182,2
06-0000013266,1
06-0000013267,1
06-0000013268,1
06-0000013270,3
06-0000013273,1
06-0000013274,2
06-0000013276,3
06-0000013277,1
06-0000013278,2
06-0000013279,2
06-0000013280,1
06-0000013281,1
06-0000013282,1
06-0000013341,1
06-0000013343,3
06-0000013344,1
06-0000013353,1
06-0000013354,1
06-0000013359,1
06-0000013360,5
06-0000013361,5
06-0000013362,5
06-0000013363,1
06-0000013364,2
06-0000013365,1
06-0000013366,1
06-0000013367,1
06-0000013368,2
06-0000013370,2
06-0000013430,3
06-0000013431,1
06-0000013433,1
06-0000013434,1
06-0000013435,1
06-0000013436,4
06-0000013437,4
06-0000013438,2
06-0000013448,2
06-0000013451,1
06-0000013452,1
06-0000013468,1
06-0000013476,1
06-0000013477,1
06-0000013478,1
06-0000013479,1
06-0000013480,1
06-0000013481,1
06-0000013482,1
06-0000013485,2
06-0000013493,3
06-0000013498,2
06-0000013500,2
06-0000013501,2
06-0000013502,6
06-0000013503,4
06-0000013504,2
06-0000013505,1
06-0000013506,1
06-0000013522,2
06-0000013523,2
06-0000013527,1
06-0000013528,2
06-0000013529,1
06-0000013530,1
06-0000013533,3
06-0000013534,1
06-0000013535,1
06-0000013537,2
06-0000013541,2
06-0000013542,1
06-0000013545,3
06-0000013546,2
06-0000013549,2
06-0000013553,1
06-0000013556,1
06-0000013557,2
06-0000013570,2
06-0000013572,1
06-0000013573,1
06-0000013577,1
06-0000013578,1
06-0000013579,1
06-0000013634,1
06-0000013640,1
06-0000013641,1
06-0000013642,1
06-0000013643,1
06-0000013644,1
06-0000013645,1
06-0000013648,1
06-0000013653,1
06-0000013654,1
06-0000013656,1
06-0000013658,2
06-0000013659,1
06-0000013671,2
06-0000013678,2
06-0000013680,4
06-0000013681,3
06-0000013687,1
06-0000013688,1
06-0000013695,1
06-0000013696,1
06-0000013697,1
06-0000013699,1
06-0000013746,1
06-0000013779,1
06-0000013780,1
06-0000013783,1
06-0000013801,1
06-0000013951,2
06-0000013952,2
06-0000013953,1
06-0000013954,1
06-0000013957,2
06-0000014044,1
06-0000014045,1
06-0000014160,4
06-0000014161,2
06-0000014162,4
06-0000014163,5
06-0000014167,3
06-0000014168,3
06-0000014169,2
06-0000014172,1
06-0000014495,1
06-0000014496,1
06-0000014497,1
06-0000014511,5
06-0000014512,5
06-0000015668,2
06-0000015672,1
06-0000015674,1
06-0000015685,2
06-0000015691,1
06-0000015710,1
06-0000015713,1
06-0000015728,1
06-0000015729,1
06-0000015731,1
06-0000015741,2
06-0000015760,1
06-0000015774,1
06-0000015775,5
06-0000018477,2
06-0000019351,1
06-0000019846,1
06-0000019859,3
06-0000019863,2
06-0000019866,1
06-0000019867,1
06-0000020419,2
06-0000020831,1
06-0000021797,1
06-0000021802,1
06-0000022105,1
06-0000022965,1
06-0000022979,1
06-0000023068,1
06-0000023176,3
06-0000023334,1
06-0000024236,1
06-0000024245,1
06-0000024246,1
06-0000024247,1
06-0000024406,1
06-0000024407,1
06-0000024408,1
06-0000024409,1
06-0000024413,1
06-0000024547,1
06-0000024548,2
06-0000024557,1
06-0000024636,1
06-0000024637,2
06-0000024638,1
06-0000024639,2
06-0000024640,1
06-0000024641,3
06-0000024642,3
06-0000024649,1
06-0000024774,3
06-0000024775,3
06-0000024776,3
06-0000025095,3
06-0000025485,1
06-0000025490,2
06-0000025491,1
06-0000025496,3
06-0000025497,1
06-0000025500,1
06-0000025792,1
06-0000025945,2
06-0000026036,2
06-0000026037,2
06-0000026038,3
06-0000026039,3
06-0000026043,3
06-0000026103,1
06-0000026104,1
06-0000026758,1
06-0000026762,1
06-0000027003,1
06-0000027247,1
06-0000027362,3
06-0000027388,1
06-0000027389,1
06-0000027390,2
06-0000027393,3
06-0000027396,1
06-0000027415,1
06-0000027416,1
06-0000027417,1
06-0000027419,2
06-0000027426,2
06-0000027442,3
06-0000027443,4
06-0000027805,2
06-0000027806,2
06-0000027807,1
06-0000027808,1
06-0000027810,1
06-0000027816,1
06-0000027817,1
06-0000027818,1
06-0000027819,1
06-0000027820,1
06-0000027821,2
06-0000027822,2
06-0000027846,1
06-0000027849,1
06-0000027850,1
06-0000028061,1
06-0000028062,1
06-0000028063,1
06-0000028064,1
06-0000028065,1
06-0000028066,1
06-0000028067,1
06-0000028073,2
06-0000028074,1
06-0000028076,1
06-0000028077,1
06-0000028078,1
06-0000028083,1
06-0000028084,1
06-0000028085,1
06-0000028086,3
06-0000028087,3
06-0000028088,3
06-0000028089,3
06-0000028090,3
06-0000028091,3
06-0000028092,3
06-0000028093,3
06-0000028511,1
06-0000028535,1
06-0000028536,1
06-0000028537,1
06-0000028767,1
06-0000028768,1
06-0000028769,2
06-0000028770,1
06-0000028794,1
06-0000028796,1
06-0000028797,3
06-0000028798,5
06-0000028804,1
06-0000028815,1
06-0000028848,1
06-0000029142,1
06-0000029187,2
06-0000029353,1
06-0000029733,1
06-0000029739,1
06-0000030015,1
06-0000030278,1
06-0000030293,1
06-0000030297,1
06-0000030344,1
06-0000030579,1
06-0000030613,1
06-0000030692,1
06-0000030693,1
06-0000030698,1
06-0000030699,1
06-0000030700,2
06-0000030701,2
06-0000030702,3
06-0000030703,3
06-0000030704,2
06-0000030705,1
06-0000031747,1
06-0000031748,3
06-0000031749,2
06-0000031752,2
06-0000031753,2
06-0000032126,1
06-0000032127,4
06-0000032128,4
06-0000032129,5
06-0000032130,4
06-0000032132,1
06-0000032133,1
06-0000032137,1
06-0000032154,1
06-0000032155,2
06-0000032156,2
06-0000033801,1
06-0000033805,1
06-0000033808,1
06-0000033810,1
06-0000033813,1
06-0000033814,1
06-0000033823,2
06-0000033824,2
06-0000033825,1
06-0000033826,1
06-0000033829,6
06-0000034362,1
06-0000034364,1
06-0000034365,1
06-0000034366,1
06-0000034367,1
06-0000034374,1
06-0000034380,1
06-0000034388,1
06-0000034390,1
06-0000035127,1
06-0000035128,1
06-0000035201,3
06-0000035385,2
06-0000035386,2
06-0000035563,1
06-0000036770,1
06-0000036835,1
06-0000036836,1
06-0000036880,1
06-0000036904,1
06-0000036906,1
06-0000036919,3
06-0000036920,1
06-0000036921,2
06-0000036922,1
06-0000036923,1
06-0000036924,1
06-0000036925,1
06-0000036927,1
06-0000037223,1
06-0000037224,1
06-0000037228,4
06-0000037229,4
06-0000037230,4
06-0000037231,4
06-0000037232,4
06-0000037233,1
06-0000037238,1
06-0000037239,1
06-0000037240,2
06-0000037704,1
06-0000037705,1
06-0000037727,2
06-0000037730,1
06-0000037734,1
06-0000037739,1
06-0000037740,1
06-0000037757,2
06-0000037758,1
06-0000038059,1
06-0000038061,2
06-0000038062,1
06-0000038063,1
06-0000038064,2
06-0000038065,2
06-0000038066,2
06-0000038067,1
06-0000038069,1
06-0000038074,1
06-0000038345,1
06-0000038498,1
06-0000038499,1
06-0000038500,1
06-0000038598,3
06-0000038599,3
06-0000038600,3
06-0000038699,3
06-0000038700,3
06-0000038820,1
06-0000038821,2
06-0000038961,3
06-0000038962,2
06-0000038975,1
06-0000038976,1
06-0000038977,1
06-0000038978,1
06-0000039036,3
06-0000039037,3
06-0000039039,3
06-0000039041,3
06-0000039044,1
06-0000039268,1
06-0000039302,1
06-0000039371,1
06-0000039374,3
06-0000039692,1
06-0000039693,2
06-0000039756,9
06-0000039757,1
06-0000039992,4
06-0000040237,1
06-0000040321,1
06-0000040430,5
06-0000041363,1
06-0000041365,2
06-0000041366,1
06-0000041367,1
06-0000041370,1
06-0000041531,1
06-0000041568,1
06-0000041569,3
06-0000041606,1
06-0000041704,2
06-0000041878,1
06-0000041879,3
06-0000044383,2
06-0000044389,1
06-0000044704,1
06-0000044802,1
06-0000044812,1
06-0000044813,1
06-0000044922,1
06-0000045291,1
06-0000045296,1
06-0000045333,2
06-0000045377,1
06-0000045420,1
06-0000045421,1
06-0000045671,1
06-0000045672,1
06-0000045673,1
06-0000045674,1
06-0000045675,1
06-0000045684,1
06-0000045685,1
06-0000045698,3
06-0000045699,3
06-0000045700,1
06-0000045701,2
06-0000045702,1
06-0000045703,1
06-0000045704,1
06-0000045710,3
06-0000045711,3
06-0000045712,3
06-0000045714,3
06-0000045715,3
06-0000045717,1
06-0000045720,6
06-0000045721,6
06-0000045722,4
06-0000045723,1
06-0000045724,1
06-0000045725,1
06-0000045726,1
06-0000045730,3
06-0000045731,2
06-0000045767,2
06-0000045768,2
06-0000045769,2
06-0000045797,1
06-0000045798,1
06-0000045818,1
06-0000045819,1
06-0000045840,1
06-0000045841,1
06-0000045842,1
06-0000045848,1
06-0000045853,1
06-0000045854,1
06-0000045855,1
06-0000045856,1
06-0000045857,4
06-0000045858,4
06-0000045859,1
06-0000045860,4
06-0000045861,1
06-0000045866,1
06-0000045872,1
06-0000045873,1
06-0000045874,1
06-0000045875,1
06-0000046620,2
06-0000046649,4
06-0000046650,1
06-0000046659,1
06-0000047268,1
06-0000047269,1
06-0000047274,1
06-0000047448,1
06-0000047608,1
06-0000047724,1
06-0000047930,1
06-0000048352,1
06-0000048353,1
06-0000048354,2
06-0000048404,1
06-0000048405,1
06-0000048419,1
06-0000048420,2
06-0000048427,1
06-0000048567,2
06-0000048568,1
06-0000048580,1
06-0000048803,1
06-0000049100,4
06-0000049106,3
06-0000049278,1
06-0000049329,2
06-0000049494,1
06-0000049495,1
06-0000049497,4
06-0000049500,2
06-0000049501,2
06-0000049502,1
06-0000049523,11
06-0000049524,11
06-0000049525,11
06-0000049526,11
06-0000049626,1
06-0000049627,2
06-0000049629,2
06-0000049630,2
06-0000049631,2
06-0000049632,2
06-0000049633,2
06-0000049634,2
06-0000049641,5
06-0000049644,2
06-0000049657,4
06-0000049660,4
06-0000049665,1
06-0000049669,2
06-0000049670,1
06-0000049671,1
06-0000049672,1
06-0000049673,1
06-0000049675,1
06-0000049685,2
06-0000049686,2
06-0000049687,2
06-0000049976,2
06-0000049977,1
06-0000050009,1
06-0000050016,1
06-0000050017,2
06-0000050023,1
06-0000050031,1
06-0000050357,1
06-0000050358,2
06-0000050671,3
06-0000050672,1
06-0000050673,2
06-0000050675,1
06-0000050944,1
06-0000050946,1
06-0000050947,1
06-0000051356,1
06-0000051379,2
06-0000051457,1
06-0000051468,1
06-0000051648,1
06-0000051819,2
06-0000052144,1
06-0000052145,3
06-0000052146,1
06-0000052451,3
06-0000052453,1
06-0000052455,1
06-0000052456,1
06-0000052457,1
06-0000052459,2
06-0000052682,1
06-0000052683,1
06-0000052684,1
06-0000052685,1
06-0000052688,2
06-0000052708,6
06-0000052709,2
06-0000052710,4
06-0000052769,1
06-0000052770,1
06-0000052771,1
06-0000052823,1
06-0000052828,1
